CellID,AHP,AP height,AP1-AP2int,AP9-AP10int,Adaptation,Halfwidth,Latency,Max dV/dt,Max firing freq,Membrane capacitance,Membrane resistance,Membrane time constant,Min dV/dt,Min latency,Rheobase,Sag Ratio,TH,Vm,dV/dt ratio,mAHP,minISI,staining
170314_3,17.22412109375,66.790771484375,49.75,41.85,0.848024316109422,0.70634838442094,303.45,12.3291015625,55.0,111.646352574102,150.222778320312,13.65,-4.9560546875,136.25,120.0,0.889317578972751,-31.72607421875,-67.4058532714843,2.48768472906404,1.019287109375,10.65,WFS1
170314_5,20.135498046875,65.838623046875,65.5,52.2,0.91659350307287,0.731273133389948,374.45,11.16943359375,62.0,119.156363636363,137.405395507812,12.85,-4.730224609375,185.5,160.0,0.892282065519155,-34.375,-72.2891235351562,2.36129032258064,0.0,11.15,WFS1
170320_1,20.367431640625,85.418701171875,58.7,55.75,0.991992882562277,0.85928832973366,123.15,20.281982421875,44.0,85.1825633598841,310.134887695312,17.95,-4.35791015625,52.25,40.0,0.905495169082125,-34.149169921875,-65.311279296875,4.65406162464986,1.019287109375,8.8,WFS1
170921_1,16.6625938415527,59.7228984832763,51.2,34.5,0.75657894736842,0.721435709397362,463.95,8.941650390625,124.0,74.064689240021,144.195556640625,8.25,-4.82177704572677,169.75,120.0,0.851668680985377,-32.928466796875,-67.1798706054687,1.85443049436501,3.936767578125,7.4,WFS1
170921_10,13.739013671875,70.208740234375,58.75,45.35,0.900695134061569,0.685752621934292,651.55,16.49169921875,61.0,146.639938697318,57.06787109375,7.3,-5.157470703125,225.1,240.0,0.947616244849911,-32.684326171875,-73.7924194335937,3.19763313609467,1.287841796875,11.15,WFS1
170921_11,19.0185546875,73.797607421875,55.5,48.5,0.836206896551724,0.657220926214163,200.55,21.405029296875,57.0,98.5793613445378,104.67529296875,8.95,-5.48095703125,73.1,120.0,0.910210696920583,-31.646728515625,-65.496826171875,3.90534521158129,1.13525390625,7.3,WFS1
170921_2,17.864990234375,60.7421875,68.5,47.2,0.842857142857142,0.731020468014633,262.9,8.3740234375,74.0,70.0743738787226,124.435424804687,7.45,-5.218505859375,262.9,120.0,0.7944936086529,-32.72705078125,-65.3240966796875,1.60467836257309,4.1259765625,6.55,WFS1
171124_2,15.9606914520263,64.3920879364013,48.65,69.35,0.981599433828732,0.825005891475281,240.35,12.1765127182006,37.0,103.081680243313,164.03203010559,13.35,-4.21142536401748,57.7,120.0,0.898888874845677,-29.2663555145263,-63.540647315979,2.89130440782284,0.0,10.05,WFS1
171124_7,15.0756797790527,60.0280742645263,55.75,164.7,2.80102040816326,0.609949607327841,77.75,10.8642578125,44.0,148.187899444179,138.473510742187,16.45,-6.01196312904357,25.3,40.0,0.992967652431847,-32.77587890625,-46.9016990661621,1.80710652731969,1.678466796875,6.95,WFS1
171208_4,16.2658672332763,54.3518028259277,44.1,34.95,0.927055702917771,0.59907193013896,399.0,10.6201162338256,93.0,54.4072686137515,132.369899749755,6.05,-5.82885706424713,128.9,120.0,0.876418624343828,-31.9519023895263,-70.7722981770833,1.82198947697088,3.021240234375,5.35,WFS1
180129_6,7.745361328125,44.9462890625,95.05,43.15,1.41940789473684,0.84062621792426,166.85,4.876708984375,53.0,99.2902536354413,116.653442382812,11.2,-3.5400390625,80.65,40.0,0.911854103343465,-44.3115234375,-57.2544860839843,1.37758620689655,0.0,3.3,WFS1
180129_7,7.110595703125,62.0422344207763,20.05,35.0,1.1608623548922,0.883303725339955,44.15,12.0849599838256,42.0,79.315364102564,91.552734375,5.9,-3.78417921066284,7.35,320.0,0.974509810169164,-32.623291015625,-54.4433555603027,3.19354853749351,0.152587890625,9.15,WFS1
180130_1,9.759521484375,32.87353515625,67.7,75.15,0.94172932330827,1.07750282331932,231.9,4.290771484375,49.0,85.2557165520888,173.416137695312,12.3,-1.666259765625,231.9,120.0,0.935634517766497,-27.825927734375,-63.4381103515625,2.57509157509157,0.0,10.2,WFS1
180130_2,15.045166015625,70.721435546875,65.25,34.45,0.640334572490706,0.663983683074474,513.35,13.824462890625,59.0,124.33947246645,95.4437255859375,10.25,-5.6396484375,183.75,160.0,0.891151685393258,-35.540771484375,-73.9926147460937,2.4512987012987,3.070068359375,9.75,WFS1
180130_3,18.719482421875,74.774169921875,65.6,55.75,0.789660056657223,0.719290373418863,736.6,20.648193359375,47.0,152.099593582887,79.2694091796875,10.85,-4.754638671875,94.45,200.0,0.892156862745098,-31.33544921875,-72.5875854492187,4.34274711168164,3.521728515625,13.3,WFS1
180130_4,21.8994140625,67.352294921875,44.8,76.4,1.12023460410557,0.78441837118631,125.7,15.911865234375,49.0,69.424532561505,159.454345703125,9.15,-3.84521484375,54.35,120.0,0.965566373782949,-26.37939453125,-78.1346130371093,4.13809523809523,1.62353515625,6.9,WFS1
180130_5,15.7165508270263,75.012201309204,72.3,52.1,0.813427010148321,0.698756625039564,423.4,16.6015625,36.0,123.291540691518,96.5117454528808,10.3,-5.15746974945068,181.7,160.0,0.940630770236906,-31.9213848114013,-75.244140625,3.21893550645996,2.38037109375,20.55,WFS1
180205_1,18.3715782165527,63.5986309051513,46.45,52.35,1.06836734693877,0.731601929953379,236.4,11.4135737419128,70.0,78.3419131975263,154.495239257812,10.4,-5.18798780441284,50.4,40.0,0.877100808062186,-33.966064453125,-62.2062662124633,2.20000011029412,3.7841796875,7.95,WFS1
180205_2,19.6533164978027,66.436767578125,75.9,59.65,0.957463884430176,0.709158370143371,494.55,13.7023916244506,76.0,81.0475092631321,164.794826507568,10.45,-5.06591796875,215.45,80.0,0.8888888573948,-33.14208984375,-65.5731182098388,2.70481908885542,3.38745498657226,7.2,WFS1
180205_3,15.13671875,69.256591796875,64.8,37.3,0.57428791377983,0.780760080824304,400.4,12.725830078125,51.0,108.379948320413,116.729736328125,11.2,-4.718017578125,191.8,160.0,0.883749239196591,-34.967041015625,-73.8198852539062,2.69728331177231,3.350830078125,12.75,WFS1
180205_4,17.0593223571777,59.3566875457763,74.35,54.85,0.859044635865309,0.58675780398252,459.1,11.3220205307006,89.0,107.632092237205,121.30742073059,11.25,-6.46972644329071,207.05,120.0,0.824967796809491,-33.99658203125,-62.2666264702292,1.74999988483932,3.60107803344726,7.55,WFS1
